period	subgrp	N	mob1	mob2	mob3	mob1se	mob2se	mob3se
"1 to 5"	"s2_frl34_dsize1"	480	.4211878	.2273412	.05969238	.07371439	.05704043	.02155142
"1 to 5"	"s2_frl34_dsize2"	900	.41689887	.14299146	.02876573	.04587542	.02060007	.01115421
"1 to 5"	"s2_frl34_dsize3"	1550	.57713892	.17099069	.04556194	.01986341	.02072812	.00958463
"1 to 5"	"s3_male_ethblk"	480	.53450645	.1927477	.05946977	.0514839	.04520261	.01757186
"1 to 5"	"s3_male_ethlat"	760	.47478478	.23135709	.04064892	.03038012	.02642113	.009854
"1 to 5"	"s3_male_ethwht"	1930	.45494819	.2107811	.08203993	.02558262	.02098029	.01255301
"1 to 5"	"s3_male_ethapi"	320	.46466093	.13447928	.05080909	.03665939	.02230091	.01759749
"1 to 5"	"s3_male_sesl"	1360	.48073842	.19136089	.05852566	.029415	.02186958	.01276526
"1 to 5"	"s3_male_sesh"	690	.41601868	.21371952	.12337349	.036224	.03222759	.02413155
"1 to 5"	"s3_male_ssml"	1500	.5052852	.23387536	.07095141	.02503466	.02444769	.01423953
"1 to 5"	"s3_male_ssmh"	790	.4316183	.20589852	.08276381	.04188386	.03369657	.02105476
"1 to 5"	"s3_male_ssrl"	1640	.5084658	.23171132	.07205707	.02429039	.02184825	.01305333
"1 to 5"	"s3_male_ssrh"	570	.42546227	.18015203	.08579619	.04463388	.0362862	.02500017
"1 to 5"	"s3_male_swdy"	590	.5287219	.22551457	.08559964	.03569541	.04014544	.02418928
"1 to 5"	"s3_male_swdn"	2740	.45051477	.20617839	.06740367	.02151677	.01622692	.00849567
"1 to 5"	"s3_female_ethblk"	480	.60148805	.12117753	.03866995	.06247917	.02536716	.01722562
"1 to 5"	"s3_female_ethlat"	740	.43800473	.17160705	.02724636	.03889561	.02903233	.00959128
"1 to 5"	"s3_female_ethwht"	1890	.38615724	.19003387	.07864254	.02352572	.0190992	.01550047
"1 to 5"	"s3_female_ethapi"	360	.46157782	.19895217	.06048823	.03615642	.04048015	.01587932
"1 to 5"	"s3_female_sesl"	1370	.4798211	.14897763	.02647769	.03311593	.01939181	.0090156
"1 to 5"	"s3_female_sesh"	620	.38929965	.2315753	.15743849	.03837841	.0359914	.03504114
"1 to 5"	"s3_female_ssml"	1540	.46541842	.16679996	.0332123	.03090471	.02254387	.00832781
"1 to 5"	"s3_female_ssmh"	580	.39085474	.22195109	.13264466	.04339662	.03898381	.03131695
"1 to 5"	"s3_female_ssrl"	1340	.47842646	.18470149	.04711129	.0256803	.02436705	.01496761
"1 to 5"	"s3_female_ssrh"	720	.3680497	.18762922	.10914995	.03642938	.03009078	.0236907
"1 to 5"	"s3_female_swdy"	430	.39310943	.15684515	.05280708	.05352734	.04253017	.02683332
"1 to 5"	"s3_female_swdn"	2880	.44580018	.17577234	.06279301	.0217485	.01384573	.01047706
"1 to 5"	"s3_ethblk_sesl"	530	.61389732	.17918885	.06136123	.06768776	.02959148	.01644972
"1 to 5"	"s3_ethblk_sesh"	50	.48937214	-99	-99	.10881023	-99	-99
"1 to 5"	"s3_ethblk_ssml"	600	.58163305	.1575443	.06421119	.05307311	.03715382	.01538916
"1 to 5"	"s3_ethblk_ssmh"	50	.39480322	-99	-99	.12024081	-99	-99
"1 to 5"	"s3_ethblk_ssrl"	530	.59273051	.14363259	.04028692	.0479026	.03576402	.01412026
"1 to 5"	"s3_ethblk_ssrh"	80	.43745742	.19245101	-99	.0964196	.07019795	-99
"1 to 5"	"s3_ethblk_swdy"	150	.58968468	.10219835	-99	.07962058	.04433214	-99
"1 to 5"	"s3_ethblk_swdn"	700	.5675965	.18355907	.05802841	.04985173	.03365826	.0138007
"1 to 5"	"s3_ethlat_sesl"	900	.43201306	.17662177	.02235007	.03714925	.0225376	.00677271
"1 to 5"	"s3_ethlat_sesh"	80	.48006671	.16793389	-99	.09096409	.07614146	-99
"1 to 5"	"s3_ethlat_ssml"	840	.45109944	.21998925	.02496798	.0318469	.02974921	.00713642
"1 to 5"	"s3_ethlat_ssmh"	130	.38982615	.28336109	.09781632	.07065074	.05989266	.03718354
"1 to 5"	"s3_ethlat_ssrl"	760	.45598005	.21264255	.02515896	.03294297	.03007886	.00734576
"1 to 5"	"s3_ethlat_ssrh"	130	.30990803	.15427762	-99	.08456513	.05971094	-99
"1 to 5"	"s3_ethlat_swdy"	170	.37939198	.15188133	-99	.0677148	.04284611	-99
"1 to 5"	"s3_ethlat_swdn"	1160	.45624181	.20564486	.03458241	.03123404	.02241208	.00780102
"1 to 5"	"s3_ethwht_sesl"	940	.43895233	.16452915	.0446472	.03902084	.02906793	.01816568
"1 to 5"	"s3_ethwht_sesh"	1020	.39854178	.23019696	.14564303	.03105416	.02963457	.02481342
"1 to 5"	"s3_ethwht_ssml"	1150	.45730663	.22576204	.06459759	.03153025	.02842145	.0166124
"1 to 5"	"s3_ethwht_ssmh"	1030	.42522588	.21092967	.10768366	.03883246	.02507538	.02091623
"1 to 5"	"s3_ethwht_ssrl"	1290	.47505919	.23940006	.09371162	.02983341	.02610827	.02099588
"1 to 5"	"s3_ethwht_ssrh"	870	.3958742	.18603944	.11582567	.03966803	.0282889	.02292392
"1 to 5"	"s3_ethwht_swdy"	600	.47533424	.24505975	.09249134	.04224261	.04674038	.02741575
"1 to 5"	"s3_ethwht_swdn"	3040	.4055287	.18176643	.08037434	.02386168	.01632835	.01175678
